03/03/2016 19:43:15.381324 ./server:     Creating C150DgmSocket
03/03/2016 19:43:33.516311 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:33.516419 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:34.516903 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:34.516965 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:34.517029 ./server:     Server received TRANSFER packet 277 for file romeo.txt

03/03/2016 19:43:34.521064 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:34.521175 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:35.521908 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:35.521968 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:35.522020 ./server:     Server received TRANSFER packet 278 for file romeo.txt

03/03/2016 19:43:35.525389 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:35.525491 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:36.525845 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:36.525910 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:36.525964 ./server:     Server received TRANSFER packet 279 for file romeo.txt

03/03/2016 19:43:36.529399 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:36.529502 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:37.529670 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:37.529724 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:37.529772 ./server:     Server received TRANSFER packet 280 for file romeo.txt

03/03/2016 19:43:37.533640 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
